pair,arm,entry_time,exit_time,entry_price,exit_price,pnl_pct,bars_held,exit_reason,entry_regime,entry_ret_30d
btc,BH,2025-07-19 00:00:00+00:00,2026-07-30 00:00:00+00:00,57202.98,64755.97,0.13103840079660178,376,eod_flatten,bear,-0.10923579371287151
btc,F0,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,0.09720224024757174,14,tp_2r,bear,-0.15787407002898046
btc,F1,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,0.09720224024757174,14,tp_2r,bear,-0.15787407002898046
btc,F2,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,0.09720224024757174,14,tp_2r,bear,-0.15787407002898046
btc,F4,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,0.09720224024757174,14,tp_2r,bear,-0.15787407002898046
btc,F4,2026-03-10 00:00:00+00:00,2026-04-01 00:00:00+00:00,43286.72,45844.65,0.05809271942988514,22,macd_death,bear,-0.10322721788361333
btc,F4,2026-06-14 00:00:00+00:00,2026-06-24 00:00:00+00:00,65706.62,60983.13,-0.07288758149483265,10,sl_atr_trail,bear,-0.16888618315725912
btc,F4,2026-07-02 00:00:00+00:00,2026-07-27 00:00:00+00:00,61484.02,63694.43,0.03495096742210413,25,macd_death,bear,-0.07762463367305084
btc,F5,2025-09-17 00:00:00+00:00,2025-09-21 00:00:00+00:00,49840.92,54256.62,0.08759587664112145,4,tp_2r,bear,-0.15787407002898046
btc,F6,2025-09-17 00:00:00+00:00,2025-10-06 00:00:00+00:00,49840.92,50827.9,0.01880260396477429,19,sl_atr_trail,bear,-0.15787407002898046
btc,F7,2025-07-24 00:00:00+00:00,2025-08-07 00:00:00+00:00,57984.18,57286.12,-0.013038800928115157,14,sl_atr_trail,bear,-0.0712337061158328
btc,F7,2025-08-08 00:00:00+00:00,2025-08-15 00:00:00+00:00,59675.81,58939.83,-0.01333297042805115,7,sl_atr_trail,bull,0.05626997239132736
btc,F7,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,0.09720224024757174,14,tp_2r,bear,-0.15787407002898046
btc,F7,2025-10-18 00:00:00+00:00,2025-10-23 00:00:00+00:00,51875.02,48171.15,-0.07239987608679466,5,sl_atr_trail,flat,0.024504357326442516
btc,F7,2025-11-06 00:00:00+00:00,2025-11-10 00:00:00+00:00,47427.91,45082.42,-0.05045379208149814,4,sl_atr_trail,bear,-0.06303301852779264
btc,F7,2026-01-12 00:00:00+00:00,2026-01-24 00:00:00+00:00,46920.99,46997.97,0.0006406303447562553,12,sl_atr_trail,bear,-0.05924071982205359
btc,F7,2026-02-01 00:00:00+00:00,2026-02-16 00:00:00+00:00,47188.27,47673.84,0.009290057253635298,15,macd_death,flat,0.026336646411778908
btc,F7,2026-03-10 00:00:00+00:00,2026-04-01 00:00:00+00:00,43286.72,45844.65,0.05809271942988514,22,macd_death,bear,-0.10322721788361333
