pair,arm,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,bars_held,exit_reason,entry_regime
btc,BH,2025-05-20 00:00:00+00:00,2026-07-30 00:00:00+00:00,60171.93,64755.97,713.8753616789004,0.07518236609661677,436,eod_flatten,bear
btc,A6,2025-09-09 00:00:00+00:00,2025-12-02 00:00:00+00:00,48705.95,48965.08,41.022276760078384,0.004320294543069259,84,indicator_oppose,bear
btc,A6,2026-06-02 00:00:00+00:00,2026-07-21 00:00:00+00:00,66658.35,66516.18,-28.381474427330605,-0.003132816068804777,49,indicator_oppose,bear
btc,E0,2025-09-17 00:00:00+00:00,2025-09-21 00:00:00+00:00,49840.92,54256.62,831.7447476766084,0.08759587664112145,4,indicator_oppose,bear
btc,E1,2025-05-22 00:00:00+00:00,2025-05-28 00:00:00+00:00,63154.11,61925.23,-194.25793322045845,-0.020458432713246988,6,sl_atr_trail,flat
btc,E1,2025-06-16 00:00:00+00:00,2025-06-23 00:00:00+00:00,63957.84,61354.71,-368.472555298078,-0.04170071784788221,7,sl_atr_trail,flat
btc,E1,2025-07-11 00:00:00+00:00,2025-07-18 00:00:00+00:00,57342.87,57717.87,44.563995218965864,0.005539609893958964,7,sl_atr_trail,flat
btc,E1,2025-07-24 00:00:00+00:00,2025-08-07 00:00:00+00:00,57984.18,57286.12,-100.19883308607245,-0.013038800928115157,14,sl_atr_trail,bear
btc,E1,2025-08-08 00:00:00+00:00,2025-08-15 00:00:00+00:00,59675.81,58939.83,-96.06850131171913,-0.01333297042805115,7,sl_atr_trail,bull
btc,E1,2025-09-17 00:00:00+00:00,2025-10-06 00:00:00+00:00,49840.92,50827.9,126.99068242791746,0.01880260396477429,19,sl_atr_trail,bear
btc,E1,2025-10-18 00:00:00+00:00,2025-10-23 00:00:00+00:00,51875.02,48171.15,-473.25694944958855,-0.07239987608679466,5,sl_atr_trail,flat
btc,E1,2025-11-06 00:00:00+00:00,2025-11-10 00:00:00+00:00,47427.91,45082.42,-290.6504031799727,-0.05045379208149814,4,sl_atr_trail,bear
btc,E1,2026-01-12 00:00:00+00:00,2026-01-24 00:00:00+00:00,46920.99,46997.97,3.329254983091484,0.0006406303447562553,12,sl_atr_trail,bear
btc,E1,2026-02-01 00:00:00+00:00,2026-02-16 00:00:00+00:00,47188.27,47673.84,45.89433463717034,0.009290057253635298,15,indicator_oppose,flat
btc,E1,2026-03-10 00:00:00+00:00,2026-04-01 00:00:00+00:00,43286.72,45844.65,275.1678405781509,0.05809271942988514,22,indicator_oppose,bear
btc,E1,2026-04-20 00:00:00+00:00,2026-05-05 00:00:00+00:00,75864.86,80907.72,311.7110712306285,0.06547161808510549,15,indicator_oppose,bull
btc,E1,2026-06-14 00:00:00+00:00,2026-06-24 00:00:00+00:00,65706.62,60983.13,-351.22967158821143,-0.07288758149483265,10,sl_atr_trail,bear
btc,E1,2026-07-02 00:00:00+00:00,2026-07-27 00:00:00+00:00,61484.02,63694.43,148.34969057400426,0.03495096742210413,25,indicator_oppose,bear
btc,E2,2025-07-11 00:00:00+00:00,2025-07-18 00:00:00+00:00,57342.87,57717.87,52.59998084561386,0.005539609893958964,7,sl_atr_trail,flat
btc,E2,2025-07-21 00:00:00+00:00,2025-08-07 00:00:00+00:00,55995.03,57286.12,200.06786952425458,0.022057224900138617,17,sl_atr_trail,bear
btc,E2,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,856.0357050491218,0.09720224024757174,14,tp_2r,bear
btc,E2,2025-10-18 00:00:00+00:00,2025-10-23 00:00:00+00:00,51875.02,48171.15,-664.5458579348345,-0.07239987608679466,5,sl_atr_trail,flat
btc,E2,2025-11-06 00:00:00+00:00,2025-11-10 00:00:00+00:00,47427.91,45082.42,-408.1303439177811,-0.05045379208149814,4,sl_atr_trail,bear
btc,E2,2025-11-11 00:00:00+00:00,2025-12-11 00:00:00+00:00,45664.59,50822.79,817.0041717997782,0.11195842139390721,30,tp_2r,bear
btc,E2,2026-01-14 00:00:00+00:00,2026-01-24 00:00:00+00:00,46749.37,46997.97,33.280511814497345,0.004317718720059705,10,sl_atr_trail,bear
btc,E2,2026-06-14 00:00:00+00:00,2026-06-24 00:00:00+00:00,65706.62,60983.13,-536.0209070003797,-0.07288758149483265,10,sl_atr_trail,bear
btc,E2,2026-07-02 00:00:00+00:00,2026-07-30 00:00:00+00:00,61484.02,64755.97,338.2390861652321,0.05221626660065504,28,eod_flatten,bear
btc,E3,2025-09-17 00:00:00+00:00,2025-10-01 00:00:00+00:00,49840.92,54735.41,922.9595717107555,0.09720224024757174,14,tp_2r,bear
btc,E4,2025-09-17 00:00:00+00:00,2025-10-26 00:00:00+00:00,49840.92,46166.08,-709.5931717478325,-0.07473138377060451,39,sl_fixed,bear
btc,E5,2025-09-17 00:00:00+00:00,2025-10-06 00:00:00+00:00,49840.92,50827.9,178.53542529652307,0.01880260396477429,19,sl_chandelier,bear
btc,E7,2025-06-29 00:00:00+00:00,2025-07-14 00:00:00+00:00,55869.22,59575.21,620.3560625384606,0.0653333048143504,15,tp_bb_mid,bear
