timestamp,pair,side,qty,entry_price,exit_price,pnl,pnl_pct,signal_source
2026-06-02T17:06:36.477668,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-02T17:06:36.478250,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-02T17:06:36.478589,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-02T17:06:36.478927,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-02T17:06:36.479284,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
2026-06-02T17:47:20.737919,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-02T17:47:20.738344,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-02T17:47:20.738693,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-02T17:47:20.739030,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-02T17:47:20.739386,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
