timestamp,pair,side,qty,entry_price,exit_price,pnl,pnl_pct,signal_source
2026-06-04T02:17:01.553575,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-04T02:17:01.554106,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-04T02:17:01.554466,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-04T02:17:01.554820,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-04T02:17:01.555166,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
2026-06-04T02:19:09.556775,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-04T02:19:09.557192,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-04T02:19:09.557540,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-04T02:19:09.557883,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-04T02:19:09.558233,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
