timestamp,pair,side,qty,entry_price,exit_price,pnl,pnl_pct,signal_source
2026-06-04T20:47:51.987183,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-04T20:47:51.987717,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-04T20:47:51.988053,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-04T20:47:51.988419,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-04T20:47:51.988801,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
2026-06-04T20:49:03.711606,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-04T20:49:03.712044,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-04T20:49:03.712401,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-04T20:49:03.712742,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-04T20:49:03.713087,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
2026-06-04T21:21:28.393900,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-04T21:21:28.394330,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-04T21:21:28.394666,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-04T21:21:28.395003,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-04T21:21:28.395354,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
2026-06-05T03:38:40.031383,BTC-USD,buy,0.00246877,65000.0,None,None,None,phase6_fresh_start
2026-06-05T03:38:40.031971,ETH-USD,buy,0.04082812,3200.0,None,None,None,phase6_fresh_start
2026-06-05T03:38:40.032578,SOL-USD,buy,1.02834483,145.0,None,None,None,phase6_fresh_start
2026-06-05T03:38:40.033062,XRP-USD,buy,264.90384615,0.52,None,None,None,phase6_fresh_start
2026-06-05T03:38:40.033416,DOGE-USD,buy,1183.41666667,0.12,None,None,None,phase6_fresh_start
